Alcohol attributable hospitalisations by Local Government Area and year,,,,,,,
,,,,,,,
 year, Local Government Areas, Smoothed Number of Separations per Year," Smoothed Rate per 100,000 population", Smoothed Estimate of Standardised Separation Ratio, Lower 95% credible interval for sSSR, Upper 95% credible interval for sSSR, Significantly higher or lower than State
 2013-14 to 2014-15, Wentworth,41.6,591.5,83.7,68.4,100.9,0
 2005-06 to 2006-07, Unincorporated NSW,6.8,591.4,92,61.6,134.8,0
 2001-02 to 2002-03, Gunnedah,70.2,591,109.2,92,126.6,0
 2010-11 to 2011-12, Wingecarribee,289.3,590.7,85.7,79.4,93, --
 2001-02 to 2002-03, Blacktown,"1,417.20",590.6,109.1,105,113.4, ++
 2007-08 to 2008-09, Lake Macquarie,"1,165.30",590.2,88,84.3,91.4, --
 2013-14 to 2014-15, Yass Valley,95.7,589.9,83.5,73.1,94.7, --
 2001-02 to 2002-03, Unincorporated NSW,7.3,589.7,108.9,70.7,153.7,0
 2003-04 to 2004-05, Leichhardt,308.5,589.7,103.3,95.1,111.7,0
 2012-13 to 2013-14, Auburn,445.3,589.2,82.9,77.8,88.5, --
 2008-09 to 2009-10, Dungog,50.9,589.1,87.5,73.3,103.3,0
 2004-05 to 2005-06, Urana,7.8,588.9,98.7,68.7,135.8,0
 2001-02 to 2002-03, North Sydney,383.6,588.5,108.7,101.1,117.1, +
 2002-03 to 2003-04, Dubbo,210,588.3,106.7,96.9,117.1,0
 2009-10 to 2010-11, Lake Macquarie,"1,196.30",588,86.9,83.6,90.4, --
 2011-12 to 2012-13, Gloucester,34,588,83.8,67.1,101.4,0
 2013-14 to 2014-15, Conargo,8.8,587.9,83.2,61.5,110.1,0
 2011-12 to 2012-13, Auburn,432.7,587.6,83.7,78.4,89.5, --
 2009-10 to 2010-11, Hurstville,495.6,587.3,86.8,81.5,92.1, --
 2005-06 to 2006-07, Boorowa,14.3,587.2,91.4,67.2,120,0
 2009-10 to 2010-11, Campbelltown,800.5,587,86.8,82.7,91.2, --
 2013-14 to 2014-15, Muswellbrook,92.6,587,83.1,72.1,95.1, --
 2013-14 to 2014-15, Tamworth Regional,354.6,586.9,83.1,76.9,89.4, --
 2010-11 to 2011-12, Wentworth,40.8,586.7,85.1,69,103.3,0
 2011-12 to 2012-13, Guyra,27.4,586.7,83.6,66.4,103.3,0
 2005-06 to 2006-07, Tweed,511.5,586.6,91.3,85.6,96.9, --
 2010-11 to 2011-12, Greater Taree,304.4,586.5,85.1,78.8,92, --
 2002-03 to 2003-04, Blue Mountains,453.7,586.3,106.4,99.8,113.3,0
 2005-06 to 2006-07, Oberon,30.5,586,91.2,72.8,112.4,0
 2005-06 to 2006-07, Cessnock,274,585.8,91.2,84.3,99.1, -
 2004-05 to 2005-06, Bombala,16,585.6,98.1,71.5,131.2,0
 2001-02 to 2002-03, Blue Mountains,449.6,585.3,108.1,101.2,114.7, +
 2005-06 to 2006-07, Greater Taree,278.5,585.3,91.1,83.6,98.5, -
 2011-12 to 2012-13, Cessnock,302.9,585.1,83.4,76.7,90.1, --
 2008-09 to 2009-10, Liverpool Plains,46.8,584.6,86.8,71.5,103.1,0
 2009-10 to 2010-11, Muswellbrook,86.5,583.3,86.3,74.7,99.3, -
 2010-11 to 2011-12, Botany Bay,240.4,583.3,84.7,77.5,92.5, --
 2004-05 to 2005-06, Harden,22,583.1,97.7,74.6,125.5,0
 2010-11 to 2011-12, Conargo,8.6,583,84.6,60.9,113.3,0
 2005-06 to 2006-07, Upper Lachlan Shire,43,582.9,90.7,74.9,107.8,0
 2001-02 to 2002-03, Orange,207.3,582.8,107.7,97.7,118.9,0
 2004-05 to 2005-06, Muswellbrook,84.3,582.4,97.6,83.9,112.2,0
 2009-10 to 2010-11, Greater Taree,296,582,86.1,79.4,93, --
 2011-12 to 2012-13, Tamworth Regional,342.5,582,83,77.5,89.1, --
 2006-07 to 2007-08, Cooma-Monaro,59.7,581.8,86.9,73.3,101.8,0
 2001-02 to 2002-03, Shellharbour,325.8,581.7,107.5,99.3,116,0
 2006-07 to 2007-08, Kogarah,331.4,581.4,86.9,80.3,93.3, --
 2009-10 to 2010-11, Queanbeyan,218.2,581.4,86,78.1,94.4, --
 2012-13 to 2013-14, Liverpool,"1,010.80",581.4,81.8,78.4,85.3, --
 2003-04 to 2004-05, Blacktown,"1,416.40",581.1,101.8,98,105.5,0
 2001-02 to 2002-03, Deniliquin,47.9,580.6,107.3,87.3,129.4,0
 2005-06 to 2006-07, Coffs Harbour,393.8,580.6,90.3,84.1,96.8, --
 2012-13 to 2013-14, Yass Valley,92.5,580.6,81.7,71.2,93.7, --
 2003-04 to 2004-05, Dubbo,208.1,580.4,101.7,92.5,111.9,0
 2007-08 to 2008-09, Singleton,124.9,579.9,86.5,76.6,96.9, --
 2008-09 to 2009-10, Auburn,409.2,579.9,86.1,80.5,91.9, --
 2004-05 to 2005-06, Bega Valley,189.3,579.8,97.1,87.9,107,0
 2010-11 to 2011-12, Oberon,30.9,579.7,84.1,66.8,103.1,0
 2012-13 to 2013-14, Cooma-Monaro,63.8,579.4,81.6,68.9,95.4, --
 2013-14 to 2014-15, Wakool,26.7,579.1,82,64.4,101.4,0
 2011-12 to 2012-13, Bathurst Regional,226.3,578.9,82.5,75.2,90.3, --
 2002-03 to 2003-04, Wollongong,"1,113.20",578.6,105,100.6,109.6, +
 2010-11 to 2011-12, Muswellbrook,86.9,578.5,84,72.3,96, -
 2003-04 to 2004-05, Blue Mountains,445.2,578.4,101.4,94.9,108.2,0
 2006-07 to 2007-08, Port Macquarie-Hastings,445.5,578.2,86.4,80.7,92.4, --
 2010-11 to 2011-12, Great Lakes,246.5,578.1,83.9,76.8,91.7, --
 2008-09 to 2009-10, Cessnock,284.7,577.9,85.8,79.1,93.1, --
 2007-08 to 2008-09, Queanbeyan,210.8,577.6,86.1,77.7,94.4, --
 2010-11 to 2011-12, Camden,302.9,576.2,83.6,77.3,90.6, --
 2001-02 to 2002-03, Cootamundra,44.2,576.1,106.4,87,128,0
 2005-06 to 2006-07, Sutherland Shire,"1,224.30",575.9,89.6,86.1,93.2, --
 2002-03 to 2003-04, Unincorporated NSW,7,575.7,104.4,67.4,151.5,0
 2005-06 to 2006-07, Goulburn Mulwaree,156.3,575.6,89.6,80.4,99.1, -
 2012-13 to 2013-14, Unincorporated NSW,6.9,575.2,81,55.5,114.8,0
 2002-03 to 2003-04, Warringah,816.1,574.9,104.3,99.1,109.6,0
 2003-04 to 2004-05, Tumbarumba,22.1,574.5,100.7,75.5,129.1,0
 2011-12 to 2012-13, Rockdale,615.3,574.4,81.9,77.4,86.3, --
 2005-06 to 2006-07, Jerilderie,9.8,574.3,89.4,63.7,119.9,0
 2009-10 to 2010-11, Canada Bay,455,574.3,84.9,79.6,90.9, --
 2001-02 to 2002-03, Warringah,815.1,574,106,101,111.3, +
 2004-05 to 2005-06, Great Lakes,214.1,573.6,96.1,87.6,104.9,0
 2008-09 to 2009-10, Armidale Dumaresq,138.5,573.4,85.1,76.4,94.6, --
 2013-14 to 2014-15, Liverpool Plains,47.7,573.4,81.2,66.9,96.4, -
 2011-12 to 2012-13, Great Lakes,249.3,573.3,81.7,74.6,89, --
 2001-02 to 2002-03, Bega Valley,179.1,573.2,105.9,95.7,117,0
 2008-09 to 2009-10, Blayney,39.6,573.2,85.1,68.6,103.3,0
 2011-12 to 2012-13, Queanbeyan,219.2,572.8,81.6,74.1,89.2, --
 2006-07 to 2007-08, Blacktown,"1,461.70",572.2,85.5,82.4,88.6, --
 2013-14 to 2014-15, Walcha,19.9,572.2,81,63.7,100.8,0
 2004-05 to 2005-06, Blayney,37.1,572,95.9,77.2,118,0
 2003-04 to 2004-05, Randwick,747.7,571.6,100.2,95.1,105.3,0
 2010-11 to 2011-12, Bankstown,"1,058.40",571.1,82.9,79.6,86.4, --
 2010-11 to 2011-12, Wollondilly,235.3,570.6,82.8,75.7,90.4, --
 2006-07 to 2007-08, Gloucester,30.2,570.3,85.2,66.7,104.7,0
 2007-08 to 2008-09, Kogarah,329.9,570.1,85,79.1,91.6, --
 2009-10 to 2010-11, Wollondilly,231,570.1,84.3,77.3,91.5, --
 2006-07 to 2007-08, Upper Hunter Shire,77.7,569.9,85.2,73.3,98.4, -
 2003-04 to 2004-05, Lane Cove,188.3,569.8,99.8,89.8,109.8,0
 2008-09 to 2009-10, Queanbeyan,211.5,569.7,84.6,76.9,93.3, --
 2006-07 to 2007-08, Lake Macquarie,"1,110.80",569.5,85.1,81.6,88.7, --
 2003-04 to 2004-05, Wingecarribee,247.3,569.4,99.8,91.5,108.5,0
 2008-09 to 2009-10, Hurstville,472.7,569.3,84.5,79,89.7, --
 2009-10 to 2010-11, Blayney,39.9,568.4,84,68.4,101.8,0
 2013-14 to 2014-15, Auburn,439.7,568.4,80.5,75.5,85.7, --
 2002-03 to 2003-04, Bega Valley,181.2,568.3,103.1,92.8,113.5,0
 2005-06 to 2006-07, Blacktown,"1,422.90",568.2,88.4,85.3,91.8, --
 2013-14 to 2014-15, Cabonne,79.8,568.2,80.5,69.8,91.5, --
 2011-12 to 2012-13, Albury,283,568,80.9,74.6,87.3, --
 2004-05 to 2005-06, Cooma-Monaro,57,567.6,95.1,79.7,112.2,0
 2006-07 to 2007-08, Wentworth,39.8,567.6,84.8,68.7,103.3,0
 2003-04 to 2004-05, Unincorporated NSW,6.8,566.7,99.3,63.3,145.7,0
 2002-03 to 2003-04, Murrumbidgee,14,566.3,102.7,75,136,0
 2001-02 to 2002-03, Sutherland Shire,"1,207.60",565.8,104.5,100.4,109, +
 2003-04 to 2004-05, Bathurst Regional,201.4,565.8,99.2,90.3,108.5,0
 2006-07 to 2007-08, Campbelltown,754.8,565.7,84.5,80.4,88.8, --
 2007-08 to 2008-09, Auburn,389.4,565.6,84.3,78.5,90.5, --
 2010-11 to 2011-12, Walcha,19,565.6,82.1,64.3,103,0
 2002-03 to 2003-04, Gunnedah,66,565.5,102.6,86.3,119.5,0
 2011-12 to 2012-13, Wentworth,39.4,565.4,80.6,64.9,97.5, -
 2012-13 to 2013-14, Dungog,52.8,565.4,79.6,66.8,93.8, --
 2010-11 to 2011-12, Gunnedah,71.1,565.2,82,70.1,95.3, --
 2001-02 to 2002-03, Cooma-Monaro,54.9,565.1,104.4,86.9,123.4,0
 2010-11 to 2011-12, Kiama,128.7,565.1,82,73.3,91.8, --
 2004-05 to 2005-06, Tweed,483.8,564.9,94.7,88.8,100.5,0
 2005-06 to 2006-07, Hawkesbury,325.9,564.1,87.8,81.3,94.2, --
 2007-08 to 2008-09, Gunnedah,67.6,564.1,84.1,71.2,97.6, -
 2003-04 to 2004-05, Jerilderie,9.6,563.5,98.7,66.6,138,0
 2012-13 to 2013-14, Oberon,31.1,563.4,79.3,64,97.4, -
 2013-14 to 2014-15, Queanbeyan,221.4,563.4,79.8,72.6,87.3, --
 2012-13 to 2013-14, Rockdale,609.4,563.2,79.3,74.8,83.9, --
 2005-06 to 2006-07, Berrigan,48.6,563.1,87.6,72.5,104.7,0
 2006-07 to 2007-08, Rockdale,573.6,563.1,84.1,79.6,89.5, --
 2006-07 to 2007-08, Liverpool Plains,44.8,563,84.1,68.9,100.8,0
 2001-02 to 2002-03, Leeton,62.5,562.9,104,87.4,123,0
 2004-05 to 2005-06, Unincorporated NSW,6.6,562.8,94.3,61.3,136.1,0
 2011-12 to 2012-13, Dungog,51.4,562.8,80.2,65.9,95.3, -
 2004-05 to 2005-06, Goulburn Mulwaree,151.6,562.5,94.3,84.1,105,0
 2010-11 to 2011-12, Liverpool,940,562.5,81.6,77.9,85.3, --
 2011-12 to 2012-13, Wollondilly,237.5,562.1,80.1,73.5,87.2, --
 2004-05 to 2005-06, Wingecarribee,245.2,562,94.2,85.9,102.4,0
 2007-08 to 2008-09, Hawkesbury,333.6,562,83.8,77.7,89.9, --
 2005-06 to 2006-07, Willoughby,380,561.6,87.4,81.1,93.6, --
 2011-12 to 2012-13, Liverpool,955.5,561.5,80,76.6,83.6, --
 2001-02 to 2002-03, Clarence Valley,276.8,561.1,103.7,95.5,112.3,0
 2010-11 to 2011-12, Blayney,39.8,561,81.4,66.3,98.4, -
 2003-04 to 2004-05, Blayney,36,560.8,98.3,78.5,119.9,0
 2001-02 to 2002-03, Great Lakes,199.7,560.6,103.6,94,113.8,0
 2002-03 to 2003-04, Great Lakes,204.9,560.4,101.7,92.5,111.5,0
 2007-08 to 2008-09, Boorowa,13.8,560.2,83.5,61.2,108.1,0
 2007-08 to 2008-09, Walcha,18.5,559.3,83.4,64.6,105.1,0
 2009-10 to 2010-11, Burwood,197,559.3,82.7,75,91, --
 2002-03 to 2003-04, Randwick,733.4,558.6,101.3,96.1,106.4,0
 2011-12 to 2012-13, Singleton,124.6,558.4,79.6,70.2,89.4, --
 2001-02 to 2002-03, Ashfield,245.6,557.5,103,94.3,112,0
 2002-03 to 2003-04, Canada Bay,374,557.3,101.1,93.9,108.6,0
 2013-14 to 2014-15, Port Macquarie-Hastings,489.4,557,78.9,74,83.7, --
 2012-13 to 2013-14, Singleton,125.1,556.8,78.4,69.4,88, --
 2009-10 to 2010-11, Liverpool,917.5,556.7,82.3,78.7,85.9, --
 2013-14 to 2014-15, Camden,337.9,556.7,78.8,72.9,84.7, --
 2001-02 to 2002-03, Urana,7.9,556.2,102.8,70,142.4,0
 2004-05 to 2005-06, Jerilderie,9.4,556.1,93.2,64.8,126.1,0
 2004-05 to 2005-06, Upper Hunter Shire,75.3,556,93.2,79.9,107.8,0
 2008-09 to 2009-10, Hawkesbury,333.3,555.3,82.5,76.5,88.9, --
 2009-10 to 2010-11, Kiama,124.1,555.3,82.1,72.3,92.1, --
 2008-09 to 2009-10, Walcha,18.4,555.2,82.4,63.2,105,0
 2008-09 to 2009-10, Campbelltown,755.1,554.9,82.4,78.4,86.6, --
 2008-09 to 2009-10, Dubbo,207.8,554.4,82.3,74.7,90.1, --
 2009-10 to 2010-11, Wentworth,38.6,554.1,81.9,66.2,99.7, -
 2013-14 to 2014-15, Snowy River,44.8,553.8,78.4,65.3,93.6, --
 2012-13 to 2013-14, Bathurst Regional,219.7,553.7,77.9,71,85.2, --
 2009-10 to 2010-11, Sutherland Shire,"1,233.10",553.2,81.8,78.5,85.1, --
 2012-13 to 2013-14, Great Lakes,244.1,552.8,77.8,70.9,84.8, --
 2012-13 to 2013-14, Greater Taree,295.2,552.8,77.8,71.6,84, --
 2001-02 to 2002-03, Upper Hunter Shire,75.1,552.4,102,87.5,117.9,0
 2012-13 to 2013-14, Queanbeyan,213.7,552.2,77.7,70.8,85.4, --
 2001-02 to 2002-03, Tumbarumba,21.4,552,102,77.7,132.8,0
 2001-02 to 2002-03, Dubbo,196.6,551.9,102,92.4,112.6,0
 2004-05 to 2005-06, Wagga Wagga,305.6,551.8,92.5,85.4,99.7, -
 2010-11 to 2011-12, Sutherland Shire,"1,234.20",551.7,80.1,76.9,83.3, --
 2007-08 to 2008-09, The Hills Shire,888,551.5,82.2,78.6,86.1, --
 2010-11 to 2011-12, Rockdale,586.5,551.5,80,75.4,84.8, --
 2013-14 to 2014-15, Armidale Dumaresq,135.7,551,78,69.6,86.2, --
 2013-14 to 2014-15, Unincorporated NSW,6.5,550.7,78,53.2,107.2,0
 2008-09 to 2009-10, Kogarah,323,550.2,81.7,75.7,87.9, --
 2009-10 to 2010-11, Conargo,8.1,549.7,81.3,58.9,107.8,0
 2011-12 to 2012-13, Walcha,18.8,549.5,78.3,60.4,98.7, -
 2003-04 to 2004-05, Byron,167.3,549.4,96.3,86.1,106.7,0
 2005-06 to 2006-07, Kiama,114.9,548.7,85.4,74.7,96.2, --
 2003-04 to 2004-05, Goulburn Mulwaree,147.1,548.6,96.1,85.5,107,0
 2001-02 to 2002-03, Coolamon,22.1,548.4,101.3,75.9,130,0
 2001-02 to 2002-03, Canada Bay,363.2,548.3,101.3,94.1,108.9,0
 2004-05 to 2005-06, Newcastle,842.5,547.9,91.8,87.6,96, --
 2002-03 to 2003-04, Leeton,60.4,547.5,99.3,82.9,116.8,0
 2005-06 to 2006-07, Campbelltown,727.7,547.5,85.2,80.9,89.5, --
 2009-10 to 2010-11, Bankstown,"1,002.60",547.4,80.9,77.6,84.4, --
 2004-05 to 2005-06, Greater Taree,257.9,546.8,91.6,84.3,99.7, -
 2003-04 to 2004-05, Bega Valley,176.8,546.5,95.8,86.3,106.3,0
 2006-07 to 2007-08, Uralla,32,546.4,81.7,64.9,101.1,0
 2011-12 to 2012-13, Liverpool Plains,44.9,546.4,77.9,63.6,93.1, --
 2012-13 to 2013-14, Dubbo,214.1,546.1,76.9,69.9,83.9, --
 2012-13 to 2013-14, Gwydir,30.9,545.8,76.8,61.9,94.6, -
 2013-14 to 2014-15, Rockdale,597.9,545.8,77.3,73.3,81.6, --
 2008-09 to 2009-10, Canada Bay,420,545.6,81,75.6,86.6, --
 2001-02 to 2002-03, Murrumbidgee,13.6,545,100.7,74.7,131.7,0
 2001-02 to 2002-03, Randwick,721.8,545,100.7,95.8,106,0
 2006-07 to 2007-08, Ashfield,243.3,544.7,81.4,74.3,88.9, --
 2009-10 to 2010-11, Weddin,22.5,544.7,80.5,61.6,101.7,0
 2003-04 to 2004-05, Ballina,226.6,544.6,95.4,86.6,104.2,0
 2003-04 to 2004-05, Penrith,873.7,544.5,95.4,91.1,99.8, -
 2004-05 to 2005-06, Lockhart,18.1,544.4,91.2,67.8,117.5,0
 2004-05 to 2005-06, Coffs Harbour,363.7,544.1,91.2,84.6,97.8, --
 2003-04 to 2004-05, Tweed,459,543.9,95.3,89.2,101.7,0
 2005-06 to 2006-07, Lake Macquarie,"1,051.30",543.9,84.6,81,88.3, --
 2013-14 to 2014-15, Gloucester,32.2,543.9,77,61.5,93.2, --
 2007-08 to 2008-09, Campbelltown,733.1,543.7,81.1,77,85.3, --
 2012-13 to 2013-14, Conargo,8,543.6,76.5,55.2,103.5,0
 2008-09 to 2009-10, Kiama,118.4,542,80.5,70.4,90.5, --
 2012-13 to 2013-14, Albury,273,541.9,76.3,70.2,82.7, --
 2005-06 to 2006-07, Albury,255.3,541.8,84.3,77.3,91.5, --
 2013-14 to 2014-15, Kiama,128.4,541.2,76.6,68.1,85.9, --
 2011-12 to 2012-13, Botany Bay,226.6,540.8,77.1,70.1,84.1, --
 2005-06 to 2006-07, Corowa Shire,63.5,540.7,84.1,71.2,99.1, -
 2005-06 to 2006-07, Ashfield,239.3,540.4,84.1,77,91.5, --
 2001-02 to 2002-03, Jerilderie,9.6,540.2,99.8,69.7,136.4,0
 2004-05 to 2005-06, Blacktown,"1,333.50",540.1,90.5,87.1,94, --
 2007-08 to 2008-09, Port Macquarie-Hastings,424.4,539.7,80.5,75.4,86, --
 2007-08 to 2008-09, Blayney,36.6,539.4,80.4,64.3,99, -
 2007-08 to 2008-09, Dungog,45.8,539.3,80.4,66.8,94.6, --
 2013-14 to 2014-15, Bathurst Regional,217.3,538.8,76.3,69.5,83.5, --
 2005-06 to 2006-07, Kogarah,303.6,538.1,83.7,77.5,90.3, --
 2006-07 to 2007-08, Wakool,24.4,537.9,80.4,62.2,101.6,0
 2013-14 to 2014-15, Gwydir,30.5,537.8,76.2,61.1,93.1, --
 2002-03 to 2003-04, Shoalhaven,490.4,537.7,97.6,91.3,104,0
 2006-07 to 2007-08, Auburn,359.9,537.6,80.3,74.6,86.4, --
 2001-02 to 2002-03, Boorowa,13.2,537.2,99.2,72.2,133,0
 2005-06 to 2006-07, Liverpool Plains,42.7,537.2,83.6,67.8,100.5,0
 2013-14 to 2014-15, Albury,275,537.2,76.1,69.7,82.6, --
 2007-08 to 2008-09, Rockdale,558.3,537,80.1,75.5,84.9, --
 2006-07 to 2007-08, Kiama,113.7,536.6,80.2,70.2,90.2, --
 2003-04 to 2004-05, Willoughby,356.4,536.4,94,87.3,101.2,0
 2006-07 to 2007-08, Queanbeyan,192.5,536.4,80.2,71.9,88, --
 2013-14 to 2014-15, Port Stephens,390.9,535.9,75.9,70.9,81.4, --
 2003-04 to 2004-05, Gunnedah,61.5,535.8,93.9,78.8,111.1,0
 2007-08 to 2008-09, Port Stephens,348.3,535.6,79.8,74.2,86, --
 2001-02 to 2002-03, Shoalhaven,478.9,535.1,98.8,92.9,105.4,0
 2001-02 to 2002-03, Wollongong,"1,023.00",534.5,98.7,94.3,103.3,0
 2004-05 to 2005-06, Hornsby,842.2,534.1,89.5,85.4,93.7, --
 2001-02 to 2002-03, Blayney,33.8,534,98.6,78.7,120.7,0
 2009-10 to 2010-11, Rockdale,567.2,534,79,74.4,83.8, --
 2005-06 to 2006-07, Rockdale,535.7,533.7,83.1,78.4,87.9, --
 2009-10 to 2010-11, Dubbo,202.3,533.7,78.9,71.2,86.3, --
 2007-08 to 2008-09, Kiama,114.5,533.5,79.5,69.7,89.7, --
 2010-11 to 2011-12, Snowy River,40.6,533.5,77.4,63.5,93.8, -
 2002-03 to 2003-04, Ashfield,234.2,532.8,96.7,88.5,105.6,0
 2004-05 to 2005-06, Greater Hume Shire,53.6,532.7,89.3,75.5,105.6,0
 2010-11 to 2011-12, Strathfield,195.6,532.7,77.3,69.9,85.1, --
 2002-03 to 2003-04, Byron,160.6,532.4,96.6,86.4,106.6,0
 2003-04 to 2004-05, Great Lakes,197.2,532.3,93.3,84.4,103.1,0
 2007-08 to 2008-09, Gloucester,28.4,532,79.3,63,98.6, -
 2007-08 to 2008-09, Wollondilly,208.8,531.6,79.2,72.2,86.7, --
 2008-09 to 2009-10, Wollondilly,212.4,531.1,78.9,72.2,86.2, --
 2001-02 to 2002-03, Lane Cove,177.8,530.8,98.1,88.2,108.4,0
 2006-07 to 2007-08, Boorowa,12.9,530.6,79.3,57.7,104.7,0
 2010-11 to 2011-12, Dungog,47.5,530.6,77,63.6,90.8, --
 2013-14 to 2014-15, Great Lakes,237,530.5,75.1,68.8,82.2, --
 2001-02 to 2002-03, Ku-ring-gai,592,530.4,98,92.5,103.9,0
 2012-13 to 2013-14, Wentworth,37.1,530.1,74.6,59.8,92.2, --
 2002-03 to 2003-04, Shellharbour,300.5,530,96.2,88.3,103.9,0
 2009-10 to 2010-11, Gunnedah,65.5,529.6,78.3,66.1,91, --
 2011-12 to 2012-13, Blayney,37.8,529,75.4,61.1,91.3, --
 2004-05 to 2005-06, Willoughby,354.4,528.3,88.5,82,94.9, --
 2002-03 to 2003-04, Blayney,33.7,528.2,95.8,76,118.9,0
 2011-12 to 2012-13, Oberon,28.5,527.4,75.2,59.8,92.9, --
 2003-04 to 2004-05, Greater Taree,246.5,526.9,92.3,84.7,100.6,0
 2001-02 to 2002-03, Liverpool Plains,43.2,526.8,97.3,78.9,118,0
 2006-07 to 2007-08, The Hills Shire,831.5,526.8,78.7,75,82.7, --
 2009-10 to 2010-11, Dungog,46.3,526.8,77.9,64.6,93, --
 2011-12 to 2012-13, Strathfield,194.1,526.8,75.1,68,82.6, --
 2002-03 to 2003-04, Cabonne,66,526.7,95.6,81.2,111.1,0
 2002-03 to 2003-04, Inverell,83.9,526.7,95.6,82,110.7,0
 2003-04 to 2004-05, Coffs Harbour,347.4,526.6,92.3,85.5,99.3, -
 2010-11 to 2011-12, Tamworth Regional,305.7,526.5,76.4,70.4,82.5, --
 2011-12 to 2012-13, Dubbo,203.7,526.3,75,67.8,82.5, --
 2011-12 to 2012-13, Maitland,357.5,526.3,75,69.7,80.6, --
 2003-04 to 2004-05, Weddin,20.8,526,92.2,69.9,118,0
 2004-05 to 2005-06, Gloucester,27.5,526,88.1,69.8,108.8,0
 2005-06 to 2006-07, Blayney,34.6,525.8,81.8,65.2,99.8, -
 2010-11 to 2011-12, Dubbo,201.2,525.8,76.3,69,83.6, --
 2001-02 to 2002-03, Cabonne,65.6,525.4,97.1,81.8,113.2,0
 2006-07 to 2007-08, Gwydir,29.5,525.4,78.5,62.2,97, -
 2008-09 to 2009-10, Rockdale,554.9,525.4,78,73.5,82.8, --
 2002-03 to 2003-04, Bathurst Regional,185.7,525.1,95.3,86.3,105.2,0
 2004-05 to 2005-06, Campbelltown,697.8,525.1,88,83.3,92.6, --
 2011-12 to 2012-13, Port Stephens,370.9,525,74.8,69.9,80, --
 2013-14 to 2014-15, Fairfield,"1,020.10",523.8,74.2,71.1,77.4, --
 2012-13 to 2013-14, Port Macquarie-Hastings,453,523.5,73.7,69,78.6, --
 2012-13 to 2013-14, Fairfield,"1,006.90",523.2,73.6,70.3,76.7, --
 2011-12 to 2012-13, Fairfield,992.3,523.1,74.6,71.2,77.9, --
 2013-14 to 2014-15, Blayney,37.9,522.3,74,60.2,88.6, --
 2006-07 to 2007-08, Liverpool,808.4,522.2,78,74.2,82, --
 2006-07 to 2007-08, Tamworth Regional,287.7,522.2,78,71.6,84.4, --
 2003-04 to 2004-05, Gloucester,27.3,521.7,91.4,71,115.3,0
 2009-10 to 2010-11, Tamworth Regional,298.6,521.6,77.1,71.4,83.3, --
 2003-04 to 2004-05, Pittwater,302.2,521.4,91.4,84.6,99.1, -
 2008-09 to 2009-10, Burwood,183,521.4,77.4,70.1,85.3, --
 2001-02 to 2002-03, Coffs Harbour,330.6,521.1,96.3,88.9,103.8,0
 2006-07 to 2007-08, Port Stephens,331.6,521,77.8,72,83.8, --
 2007-08 to 2008-09, Conargo,8,521,77.7,55.4,104.6,0
 2002-03 to 2003-04, Sutherland Shire,"1,112.40",520.5,94.4,90.6,98.5, --
 2011-12 to 2012-13, Conargo,7.8,520.5,74.2,52.7,100.1, -
 2005-06 to 2006-07, Tamworth Regional,283.5,520.1,80.9,74.5,87.4, --
 2002-03 to 2003-04, Gwydir,29.6,519.9,94.3,74.2,117.1,0
 2004-05 to 2005-06, Tamworth Regional,280.4,519.7,87.1,79.9,94.3, --
 2003-04 to 2004-05, Canada Bay,354.3,519.6,91,84.5,97.7, --
 2003-04 to 2004-05, Campbelltown,689.8,519.5,91,86.6,96, --
 2008-09 to 2009-10, Tamworth Regional,292.6,519,77.1,70.8,83.8, --
 2004-05 to 2005-06, Cessnock,242,518.9,87,79.4,94.5, --
 2011-12 to 2012-13, Gwydir,29.2,518.7,73.9,59,90.3, --
 2002-03 to 2003-04, Goulburn Mulwaree,138.8,518.6,94.1,83.4,106.1,0
 2006-07 to 2007-08, Wollondilly,199.3,518.5,77.5,70.1,84.9, --
 2009-10 to 2010-11, Snowy River,39.3,518.5,76.7,62.3,93.5, --
 2013-14 to 2014-15, Palerang,78.6,518.2,73.4,63.1,84.2, --
 2001-02 to 2002-03, Byron,154.1,518.1,95.7,85.8,106.5,0
 2002-03 to 2003-04, Jerilderie,9,517.6,93.9,62.5,131,0
 2013-14 to 2014-15, Dungog,49.4,517.5,73.3,61.7,86.5, --
 2010-11 to 2011-12, Port Stephens,358.8,517.4,75.1,69.8,80.8, --
 2012-13 to 2013-14, Port Stephens,371.1,517.3,72.8,67.5,78.2, --
 2002-03 to 2003-04, Botany Bay,196.3,517.1,93.8,85,103,0
 2010-11 to 2011-12, Murray,40.4,517,75,60.9,90.2, --
 2011-12 to 2012-13, Gunnedah,65.9,517,73.7,61.9,85.7, --
 2008-09 to 2009-10, Murray,38.4,516.9,76.8,62.1,93.6, --
 2008-09 to 2009-10, Liverpool,839.4,516.7,76.7,73.2,80.4, --
 2008-09 to 2009-10, Bankstown,932.8,516.5,76.7,73.2,80, --
 2005-06 to 2006-07, Port Stephens,321.9,516.2,80.3,74.4,86.5, --
 2013-14 to 2014-15, Greater Taree,278.7,516.1,73.1,67.1,79.2, --
 2004-05 to 2005-06, Berrigan,44.1,515.9,86.4,69.3,103.9,0
 2004-05 to 2005-06, Ashfield,227.1,515.7,86.4,78.6,94.6, --
 2007-08 to 2008-09, Canada Bay,384,515.6,76.9,71.9,82.2, --
 2013-14 to 2014-15, Dubbo,204.7,515.5,73,66.3,80.3, --
