LGA,region_id,yr_2006_Couple family with children,yr_2007_Couple family with children,yr_2008_Couple family with children,yr_2009_Couple family with children,yr_2010_Couple family with children,yr_2011_Couple family with children,yr_2012_Couple family with children,yr_2013_Couple family with children,yr_2014_Couple family with children,yr_2015_Couple family with children,yr_2016_Couple family with children,yr_2006One parent family,yr_2007One parent family,yr_2008One parent family,yr_2009One parent family,yr_2010One parent family,yr_2011One parent family,yr_2012One parent family,yr_2013One parent family,yr_2014One parent family,yr_2015One parent family,yr_2016One parent family,,,,
Mid-Western Regional (A),LGA15270,0.443569554,0.43472836,0.426063389,0.417571127,0.409248133,0.40820478,0.461266555,0.52122573,0.588978887,0.665539148,0.195957682,0.1549,0.1545,0.1542,0.1539,0.1536,0.153585353,0.173289919,0.195522523,0.220607509,0.248910826,0.074767093,,,,
Moree Plains (A),LGA15300,0.456743003,0.448933708,0.441257935,0.433713401,0.426297862,0.425505825,0.507782328,0.605967951,0.723138907,0.862966231,0.096399811,0.1406,0.1553,0.1716,0.1896,0.2095,0.199570815,0.235844382,0.278710954,0.329368863,0.389234245,0.054476551,,,,
Mosman (A),LGA15350,0.422889452,0.433900989,0.445199253,0.456791711,0.468686022,0.4669356,0.514330324,0.56653569,0.624039986,0.687381061,0.277356703,0.1729,0.1574,0.1433,0.1304,0.1187,0.110790952,0.12256022,0.135579732,0.1499823,0.165914845,0.06371388,,,,
Murray River (A),LGA15520,0.407510431,0.394648611,0.382192735,0.370129991,0.35844797,0.356063151,0.423071201,0.502689596,0.597291494,0.709696662,0.088030949,0.1026,0.1048,0.1071,0.1094,0.1118,0.111521666,0.132750417,0.158020174,0.188100167,0.223906048,0.026606664,,,,
Muswellbrook (A),LGA15650,0.401079763,0.41453855,0.428448965,0.442826163,0.457685808,0.45491491,0.534299725,0.627537567,0.737045856,0.865663862,0.137375651,0.1942,0.1877,0.1814,0.1753,0.1694,0.168148336,0.194533281,0.225058411,0.260373382,0.301229792,0.062608558,,,,
Nambucca (A),LGA15700,0.407582938,0.382087124,0.358186167,0.335780303,0.314776009,0.305599682,0.351603266,0.40453202,0.465428427,0.535491902,0.121585347,0.1872,0.1897,0.1923,0.1949,0.1976,0.197378872,0.227025185,0.261124375,0.300345264,0.345457132,0.078793621,,,,
Narrabri (A),LGA15750,0.46702661,0.456042027,0.445315805,0.434841865,0.424614276,0.423088279,0.502905035,0.59777944,0.710552159,0.844599759,0.103821254,0.1259,0.1333,0.1410,0.1493,0.1580,0.155299675,0.182992429,0.215623305,0.254072858,0.299378665,0.044528659,,,,
Narrandera (A),LGA15800,0.416296296,0.41438001,0.412472546,0.410573861,0.408683917,0.408631153,0.499794942,0.611296965,0.747674593,0.914477461,0.043975999,0.1760,0.1763,0.1767,0.1770,0.1773,0.177343223,0.216724821,0.264851666,0.323665764,0.395540373,0.019816832,,,,
Narromine (A),LGA15850,0.375291375,0.378238031,0.381207823,0.384200932,0.387217542,0.387077998,0.471906079,0.575324221,0.701406432,0.85511954,0.047765672,0.2159,0.2130,0.2101,0.2073,0.2045,0.204307334,0.249087784,0.303683293,0.370245144,0.451396142,0.025185536,,,,
Newcastle (C),LGA15900,0.387407407,0.394123518,0.400956059,0.40790705,0.414978543,0.41427185,0.201244202,0.097760031,0.047489684,0.02306945,1.266382441,0.1979,0.1958,0.1936,0.1915,0.1895,0.189329811,0.094569258,0.047236854,0.023594564,0.011785362,0.56837202,,,,
North Sydney (A),LGA15950,0.474692202,0.435303081,0.3991824,0.366058949,0.335684024,0.317135718,0.279374014,0.246108637,0.216804207,0.190989088,0.468182536,0.1100,0.1071,0.1043,0.1015,0.0989,0.098435034,0.088206433,0.079040708,0.070827414,0.063467582,0.139349439,,,,
Oberon (A),LGA16100,0.417457306,0.418056214,0.418655983,0.419256611,0.419858101,0.419852941,0.514848546,0.631337785,0.774183789,0.949350021,0.03987052,0.1664,0.1582,0.1505,0.1431,0.1361,0.133823529,0.163252884,0.199154097,0.242950405,0.296378032,0.016106111,,,,
Orange (C),LGA16150,0.403323875,0.412127805,0.421123912,0.430316389,0.439709524,0.438539596,0.463637151,0.490171036,0.51822345,0.5478813,0.338149376,0.1804,0.1823,0.1843,0.1863,0.1883,0.188199602,0.197431723,0.207116725,0.217276824,0.227935326,0.15127112,,,,
Parkes (A),LGA16200,0.431006047,0.425000271,0.419078181,0.413238612,0.407480413,0.406982942,0.479950848,0.566001156,0.667479411,0.787151685,0.115111322,0.1495,0.1587,0.1685,0.1788,0.1898,0.18630064,0.219315875,0.2581819,0.303935561,0.357797449,0.054239697,,,,
Penrith (C),LGA16350,0.468109339,0.477270931,0.486611828,0.496135541,0.505845647,0.504755706,0.129266912,0.033104994,0.008478122,0.00217123,2.00671088,0.1116,0.1325,0.1573,0.1867,0.2217,0.195162408,0.045350452,0.010538215,0.002448796,0.000569034,0.794410232,,,,
Port Macquarie-Hastings (A),LGA16380,0.475873544,0.442678551,0.411799105,0.383073682,0.356352028,0.343093571,0.286991075,0.240062433,0.20080754,0.167971587,0.567503553,0.1439,0.1491,0.1545,0.1601,0.1659,0.164716251,0.136240332,0.112687291,0.093206067,0.077092731,0.278619927,,,,
Port Stephens (A),LGA16400,0.41465311,0.410475325,0.406339633,0.402245609,0.398192835,0.39794197,0.354525205,0.31584535,0.281385593,0.250685508,0.571609032,0.1641,0.1650,0.1659,0.1668,0.1677,0.167678812,0.148371609,0.131287513,0.116170548,0.10279421,0.244907627,,,,
Queanbeyan-Palerang Regional (A),LGA16490,0.496119119,0.493448915,0.490793083,0.488151545,0.485524224,0.485438303,0.466540497,0.448378371,0.430923284,0.414147713,0.561029528,0.1457,0.1454,0.1451,0.1449,0.1446,0.144600189,0.140425745,0.136371813,0.132434914,0.128611668,0.161297963,,,,
Randwick (C),LGA16550,0.368776037,0.390262312,0.413000459,0.437063415,0.46252837,0.454721139,0.280504692,0.173035462,0.106740714,0.065845347,1.151586926,0.2079,0.1945,0.1819,0.1702,0.1592,0.154195626,0.102305562,0.067877594,0.045035359,0.029880016,0.361755882,,,,
Richmond Valley (A),LGA16610,0.487496322,0.458577481,0.431374138,0.405784529,0.381712925,0.371820956,0.422556868,0.480215824,0.54574249,0.620210436,0.168877309,0.0871,0.1149,0.1517,0.2003,0.2644,0.198541879,0.224926125,0.254816575,0.28867917,0.327041767,0.093004895,,,,
Rockdale (C),LGA16650,0.435406699,0.446084445,0.457024048,0.46823193,0.47971467,0.478117684,0.342081023,0.244750257,0.175112574,0.125288586,1.02226433,0.1388,0.1441,0.1496,0.1553,0.1612,0.159980955,0.115794131,0.083811731,0.060662887,0.043907766,0.336728249,,,,
Ryde (C),LGA16700,0.448089888,0.461565461,0.475446291,0.489744564,0.504472835,0.501992183,0.33183651,0.219356941,0.145003536,0.095853021,1.182614874,0.1236,0.1266,0.1297,0.1329,0.1361,0.135658179,0.094430611,0.06573242,0.04575583,0.03185028,0.300568451,,,,
Shellharbour (C),LGA16900,0.404992729,0.420135809,0.435845104,0.452141786,0.469047816,0.46556505,0.413631664,0.367491403,0.326498049,0.290077468,0.673298595,0.1660,0.1719,0.1779,0.1842,0.1907,0.189462962,0.165574952,0.144698808,0.126454786,0.11051102,0.285015001,,,,
Shoalhaven (C),LGA16950,0.417933131,0.399762553,0.382381983,0.365757071,0.349854965,0.345250822,0.255067395,0.188440902,0.139218003,0.102852684,0.705984526,0.1520,0.1576,0.1635,0.1696,0.1759,0.17460506,0.128784511,0.094988371,0.070061148,0.051675425,0.357887257,,,,
