LGA,region_id,2006_Non-Indigenous_ppt,2007_Non-Indigenous_ppt,2008_Non-Indigenous_ppt,2009_Non-Indigenous_ppt,2010_Non-Indigenous_ppt,2011_Total_Non_Indig_Males_ppt,2012_Non-Indigenous_ppt,2013_Non-Indigenous_ppt,2014_Non-Indigenous_ppt,2015_Non-Indigenous_ppt,2016_Non-Indigenous_ppt,2006_Total_Indig_Males_ppt,2007_Total_Indig_Males_ppt,2008_Total_Indig_Males_ppt,2009_Total_Indig_Males_ppt,2010_Total_Indig_Males_ppt,2011_Total_Indig_Males_ppt,2012_Total_Indig_Males_ppt,2013_Total_Indig_Males_ppt,2014_Total_Indig_Males_ppt,2015_Total_Indig_Males_ppt,2016_Indigenous_ppt
Lane Cove (A),LGA14700,0.8582,0.893054478,0.929324518,0.96706761,1.006343579,0.997617913,0.997090039,0.996562443,0.996035127,0.99550809,0.995506415,0.1418,0.106946944,0.080660428,0.060834882,0.045882262,0.002387775,0.002914227,0.003556751,0.004340938,0.005298021,0.004493585
Leeton (A),LGA14750,0.9753,0.967000549,0.958771723,0.950612922,0.942523549,0.942102195,0.941056678,0.940012322,0.938969124,0.937927084,0.937920127,0.0247,0.033888993,0.046496511,0.063794328,0.087527349,0.06145597,0.061611946,0.061768318,0.061925086,0.062082252,0.062079873
Lismore (C),LGA14850,0.9561,0.955375954,0.954652456,0.953929506,0.953207104,0.953203816,0.950879701,0.948561253,0.946248458,0.943941302,0.943907357,0.0439,0.045198394,0.04653519,0.047911523,0.049328562,0.049093576,0.050843343,0.052655474,0.054532192,0.056475799,0.056092643
Lithgow (C),LGA14870,0.9908,0.980516709,0.970340147,0.960269204,0.950302786,0.949666838,0.945784451,0.941917936,0.938067228,0.934232263,0.934137291,0.0092,0.020150216,0.044133826,0.096663709,0.211716805,0.053000864,0.056216325,0.059626862,0.06324431,0.067081222,0.065862709
Liverpool (C),LGA14900,0.9619,0.967550208,0.973233606,0.978950389,0.984700751,0.984500834,0.98447498,0.984449127,0.984423274,0.984397422,0.984397418,0.0381,0.032510793,0.027741513,0.023671879,0.020199254,0.015743172,0.015708025,0.015672956,0.015637965,0.015603052,0.015602582
Liverpool Plains (A),LGA14920,0.9644,0.945722395,0.92740652,0.90944537,0.891832075,0.889689579,0.882867411,0.876097555,0.869379611,0.86271318,0.862400906,0.0356,0.057696885,0.093509284,0.151550404,0.245617589,0.123987539,0.127390428,0.13088671,0.134478949,0.138169779,0.137599094
Maitland (C),LGA15050,0.8942,0.911758654,0.929662093,0.947917087,0.966530539,0.964434618,0.959421602,0.954434643,0.949473606,0.944538355,0.944382554,0.1058,0.088569231,0.074144695,0.062069363,0.05196064,0.036876924,0.041562055,0.04684242,0.052793645,0.059500959,0.055617446
Mid-Coast (A),LGA15240,0.9734,0.967478837,0.961593691,0.955744345,0.949930581,0.949715346,0.945480707,0.94126495,0.93706799,0.932889744,0.932776791,0.0266,0.03318677,0.041404575,0.051657297,0.064448828,0.052947079,0.056516112,0.060325724,0.064392133,0.068732648,0.067223209
Mid-Western Regional (A),LGA15270,0.9971,0.98718519,0.977368969,0.967650357,0.958028383,0.957440758,0.952403773,0.947393287,0.942409161,0.937451255,0.937292818,0.0029,0.013287761,0.060884343,0.278971244,1.278242501,0.044451044,0.049015079,0.054047728,0.059597107,0.065716271,0.062707182
Moree Plains (A),LGA15300,0.9846,0.936023588,0.889843751,0.845942251,0.804206684,0.790294352,0.786061487,0.781851293,0.77766365,0.773498436,0.773362892,0.0154,0.07788783,0.393929481,1.992357944,10.0766517,0.265351319,0.255672766,0.246347234,0.237361845,0.228704194,0.226637108
